2 p.m.,quatorze heures
7 p.m.,dix-neuf heures
8 p.m.,vingt heures
a bit,un peu
a drawing,un dessin
a few,quelques
a lot of,beaucoup de
a lot of,plein de
a lot,beaucoup
a vacation,des vacances
about,sur
actually,en fait
after,après
afternoon,après-midi
again,à nouveau
airport,aéroport
all day long,toute la journée
all night long,toute la nuit
all three of them,tous les trois
all,tous
all,tout
all,toutes
already,déjà
also,aussi
always,toujours
am not hungry,n'ai pas faim
American,américain
and,et
another,un autre
another,une autre
anyway,quand même
are preparing,prépares
are right,as raison
are you,êtes-vous
are,sont
at all,du tout
at home,à la maison
at school,à l'école
at the,au
at Vikram's,chez Vikram
at your place,chez toi
at,à
aunt,tante
auto repair shop,garage
awesome,super
baby,bébé
bad, mauvaise
bad,mauvais
badly,mal
bag,sac
bakery,boulangerie
balls,balles
band,groupe
bank,banque
bathroom,salle de bain
bathroom,toilettes
bear,ours
beard,barbe
beautiful,beau
beautiful,beaux
beautiful,belle
because, parce que
bed,lit
bedroom,chambre
beds,lits
beer,bière
before leaving,avant de partir
behind, derrière
bench,banc
best,meilleure
better,mieux
big,grand
big,grande
big,gros
birthday,anniversaire
blood,sang
body,corps
book,livre
books,livres
bookstore,librairie
boots,bottes
boring,ennuyeuse
boring,ennuyeux
both of you,toutes les deux
bottle,bouteille
bottles,bouteilles
boxes,boîtes
boxing,la boxe
boy,garçon
boyfriend,copain
bread,pain
breakfast,petit déjeuner
breakup,rupture
bride,mariée
brother,frère
brown,marron
but,mais
cake,gâteau
campsite,camping
can help me,peux m'aider
canceled,annulé
candy,bonbons
car,voiture
cars,voitures
cat,chat
catch,attrape
cats,chats
ceiling,plafond
cellphone,portable
chair,chaise
chairs,chaises
cheap,pas cher
cheap,pas chère
cheese,fromage
chicken,poulet
child,enfant
children,enfants
choice,choix
city,ville
class,cours
classroom,salle de classe
clean,nettoient
clothes,vêtements
coach,entraîneur
coat,manteau
coffee,café
cold,froid
color,couleur
come on, allez
come,viens
comes back home,rentre
comes home,rentre
company,entreprise
cookbook,livre de cuisine
cooking class,cours de cuisine
cooking,cuisiner
cousin,cousin
cup,tasse
cups,tasses
curtains,rideaux
cushion,coussin
customer,cliente
cute,mignon
dad,papa
dangerous,dangereux
darling,chéri
date,rendez-vous
daughter,fille
daughters,filles
day off,jour de repos
day,journée
dead,mort
dead,morte
December,décembre
delicious,délicieux
device,appareil
diary,journal
difficult,difficile
dirty,sale
dish,plat
dishes,plats
doctor,médecin
doesn't need,n'as pas besoin
doesn't remember,ne se souvient pas
dog,chien
dogs,chiens
don't bring,n'apportes pas
don't remember,ne me souviens pas
door,porte
dough,pâte
dreams,rêves
drinks,boissons
driver,chauffeur
drives,conduit
during,pendant
ear,oreille
early,tôt
easy,facile
easy,faciles
eggs,œufs
eight,huit
emergency,urgence
end,fin
ending,fin
engine,moteur
England,Angleterre
enjoy your meal,bon appétit
era,époque
evening,soirée
every day,tous les jours
every morning,tous les matins
everyone,tout le monde
everything,tout
excuse me,excuse-moi
excuse me,excusez-moi
excuse me,pardon
expensive,cher
expensive,chère
eyes,yeux
face,visage
family,famille
famous,célèbre
far from,loin de
fashion,mode
faster,plus rapide
faster,plus vite
father,père
favorite,préféré
favorite,préférée
fifteen,quinze
fifty,cinquante
finishes,finit
first,d'abord
first,premier
first,première
fish,poisson
five years ago,il y a cinq ans
five,cinq
flat tire,pneu crevé
floor,étage
flour,farine
flowers,fleurs
food,nourriture
for how long,combien de temps
for,pour
forehead,front
forget me,oublie-moi
forks,fourchettes
four hundred,quatre cents
free,gratuite
fridge,frigo
friend,ami
friend,amie
friends,amis
friends,copains
from the,du
fun,amusant
funny,amusante
funny,drôle
future,avenir
game, match
garden,jardin
garlic,ail
gas,essence
get out,sors
gets,prend
ghost,fantôme
gift,cadeau
girlfriend,copine
girlfriend,petite amie
gives,donne
glasses,lunettes
glasses,verres
go back home,rentre à la maison
go,allez
goes to pick up,va chercher
goes,va
gold,or
good evening,bonsoir
good morning,bonjour
good,bien
good,bon
good,bonne
goodbye,au revoir
goodnight,bonne nuit
grade,note
granddaughter,petite-fille
grandma,mamie
grandmother,grand-mère
grandpa,papi
gray,gris
great,génial
great,grand
great,super
green,vert
green,verte
habit,habitude
hair,cheveux
ham,jambon
hand,main
hands,mains
handsome,beau
handwriting,écriture
happy birthday,bon anniversaire
happy,content
happy,contente
happy,heureux
has to do,doit faire
hat,chapeau
hats,chapeaux
have a good trip,bon voyage
have a nice day,bonne journée
have pain,as mal
have to do,dois faire
he comes back,il revient
he eats it,il le mange
he gets out,il sort
he is eating,il mange
he is fine,il va bien
he is reading,il lit
he is talking,il parle
he is traveling,il voyage
he is,il est
he left,il est parti
he liked,il aimait
he takes,il prend
head,tête
health,santé
hello,bonjour
help,aide
help,au secours
her friend,son ami
her,elle
her,sa
her,son
here is,voilà
here,ici
here,voilà
hi,salut
hides,cache
high school,lycée
him,lui
his name is,il s'appelle
his name,son prénom
his,sa
home,maison
homework,devoir
homework,devoirs
honest,honnête
honeymoon,lune de miel
hospital,hôpital
hot,chaud
house,maison
how are you,comment allez-vous
how are you,comment ça va
how are you,comment vas-tu
how are you?,comment ça va ?
how much,combien
how old are you,quel âge as-tu
how,comment
husband,mari
I am joking,je rigole
I am,je suis
